YBL032W	YMR291W
YML114C	YPL011C
YBL093C	YPR070W
YBR058C	YFR004W
YBL032W	YNL112W
YJL061W	YML065W
YBR065C	YLR117C
YBR173C	YGR135W
YGL158W	YPL016W
YIL027C	YMR112C
YBL032W	YBL101C
YDL047W	YNR016C
YER025W	YER133W
YDR318W	YGL060W
YDR510W	YPL049C
YBR105C	YPR010C
YIL143C	YML086C
YDL065C	YKL189W
YAL032C	YOR023C
YDR276C	YEL002C
YNL112W	YPR152C
YBR189W	YNL207W
YIL062C	YNL243W
YKL193C	YPL036W
YAL005C	YHR154W
YDR510W	YKL152C
YER021W	YKL100C
YGR180C	YOR229W
YDL150W	YNL151C
YCR030C	YIL095W
YDR225W	YNL030W
YBL007C	YFR024C-A
YDR254W	YPR046W
YKL130C	YLR196W
YFR004W	YJR094W-A
