YCL037C	YNL251C
YDR212W	YHR027C
YDL155W	YIL106W
YDR164C	YMR183C
YBR289W	YPR034W
Q0130	YOL027C
YBR155W	YDR477W
YIL126W	YLR176C
YNL098C	YOL081W
YHR135C	YNL116W
YDR335W	YDR394W
YAL053W	YML072C
YGL158W	YHR044C
YML086C	YNL121C
YDR190C	YER092W
YKL180W	YMR086W
YGR080W	YNL138W
YBR063C	YHL007C
YBL056W	YDR071C
YCR093W	YGL014W
YGL051W	YHR082C
YBR251W	YER050C
YBL102W	YFL048C
YBR188C	YKR086W
YKR101W	YLL004W
YBR159W	YPR124W
YGL006W	YHR175W
YBR214W	YDL047W
YDR331W	YDR343C
YAL031C	YER172C
YCR004C	YDL101C
YLR357W	YPR034W
YER175C	YPL204W
YGL120C	YPL146C
YER164W	YKL049C
YJL165C	YMR076C
YFR014C	YNL121C
YKL049C	YNR053C
YBL032W	YOR113W
YCR105W	YHR082C
YGR258C	YLR005W
YBL032W	YDR259C
YGR130C	YKL049C
YBR126C	YCL040W
YGL158W	YKR048C
YML051W	YOR370C
YBL032W	YPR008W
YOL148C	YPL047W
YLR102C	YPL031C
YKR086W	YPL151C
YDR323C	YMR231W
YIL115C	YKL049C
YCR063W	YER172C
YGL112C	YGL120C
YDR190C	YML041C
YGL055W	YJR059W
YJL025W	YOR284W
YCR051W	YFR004W
YPR081C	YPR154W
YGL055W	YNL197C
YDR080W	YLR093C
YDR028C	YHR005C
YER033C	YPL031C
YLL008W	YOR206W
YNL197C	YPL069C
YAR033W	YGL051W
