YIL075C	YPR108W
YBL075C	YLL060C
YBL075C	YPL117C
YDR477W	YHR117W
YHL002W	YIL144W
YDR216W	YPR086W
YBR126C	YOR089C
YKL049C	YPR135W
YAL021C	YMR124W
YCR072C	YML093W
YFL033C	YOR380W
YEL051W	YMR120C
YMR068W	YOR181W
YHR200W	YJL014W
YEL044W	YOR141C
YDR283C	YGL190C
YAR007C	YDR335W
YFR004W	YOL109W
YGL145W	YNL258C
YDL047W	YOL018C
YBL002W	YJL176C
YNL099C	YNR054C
YBR143C	YOR046C
YBR086C	YJL106W
YOL148C	YPL254W
YDR427W	YOR294W
YJL084C	YOR348C
YML010W	YML088W
YHR089C	YNL124W
YCL066W	YDR480W
YFR031C-A	YLR074C
YER177W	YLR403W
YDL031W	YJL050W
YBL091C-A	YIR038C
YJR076C	YNL307C
YER147C	YFL016C
YJL164C	YPR091C
YDL007W	YPR108W
YER029C	YLR424W
YBR095C	YML065W
YAL028W	YMR186W
YDR265W	YOL147C
YGL055W	YJR010C-A
YJL151C	YNL204C
YJL084C	YJR059W
YMR037C	YPL042C
YLR248W	YNL272C
YGL055W	YMR015C
YBR005W	YER125W
YAL014C	YKL196C
YGR142W	YOL018C
YHR185C	YJL057C
YER094C	YHR200W
YBR160W	YOL036W
YLR429W	YNL032W
YGR110W	YHR114W
YHR117W	YJR059W
YLR324W	YPR028W
YIR026C	YPR016C
YDR398W	YLR216C
YKL049C	YOR254C
YHR096C	YJR066W
YIL151C	YKL171W
YEL026W	YJR010C-A
YDR099W	YLR345W
YER012W	YLR199C
YBL049W	YCL039W
YIR038C	YLR268W
YER094C	YFR050C
YGR103W	YML065W
YBR160W	YLL008W
YAL027W	YML095C
YOR351C	YPL077C
YFR004W	YFR050C
YGR052W	YJL105W
YHR023W	YLR423C
YNL110C	YOR294W
YLR005W	YLR432W
YMR162C	YPR154W
YKL059C	YLR448W
YDL148C	YML093W
YFR004W	YMR027W
YJR059W	YLL038C
YBR034C	YHR089C
YLR208W	YMR017W
YBL055C	YDR280W
YAL035W	YHR200W
YKL021C	YMR290C
YML064C	YMR246W
YLL008W	YPR016C
YBR108W	YLR248W
YLR248W	YMR184W
YLR355C	YLR442C
YJL034W	YJL052W
YDR411C	YLR207W
YER148W	YGR246C
YIL149C	YLL015W
YBR160W	YCR016W
YJL069C	YOR059C
YBR273C	YDR411C
YMR236W	YNL167C
YLR248W	YNR047W
YBL002W	YDR075W
YER142C	YOL016C
YIL007C	YIL075C
YER044C	YML008C
YBR194W	YJR121W
YGL234W	YOR090C
YKL049C	YMR304W
YLR432W	YOR360C
YGR037C	YLL019C
YLR074C	YPL093W
YDR145W	YOL148C
YIR038C	YNL217W
YDR099W	YNR047W
YFR004W	YMR308C
YHR158C	YNL084C
YDR256C	YOR351C
YDL025C	YLR002C
YDR312W	YNL110C
YBR160W	YJR091C
YGL244W	YOL086C
YGL112C	YGR252W
YBL047C	YDR348C
YJL164C	YNL149C
YJL005W	YNL138W
YJL151C	YLR144C
YJL052W	YLR144C
YFR004W	YPR181C
YBR136W	YML058W
YFR004W	YGR253C
YDR140W	YIL151C
YAL028W	YKL171W
YLR347C	YNL282W
YBR019C	YLR170C
YDL155W	YGL003C
YGR186W	YJL164C
YDR477W	YGR252W
YDR097C	YJL173C
YFR037C	YLR347C
YFL016C	YKL171W
YJL164C	YOR054C
YHL025W	YJL176C
YAR007C	YBL088C
YGR056W	YLR321C
YGR104C	YMR112C
YHR200W	YKL145W
YJL041W	YKL068W
YDR299W	YER127W
YFR004W	YPR145W
YIR026C	YIR038C
YER012W	YNR016C
YDL155W	YKL068W
YBR234C	YER090W
YER104W	YNL312W
YJL151C	YPL145C
YKL145W	YPR152C
YKR058W	YLR258W
YBR160W	YPR086W
YBR194W	YPL004C
