YMR186W	YNL186W
YGR205W	YKL168C
YBR280C	YDR328C
YFR051C	YGL137W
YFR004W	YLR029C
YBR241C	YIR038C
YJL081C	YPL235W
YLR467W	YNL255C
YBR272C	YDR363W-A
YDR359C	YJL081C
YHR140W	YJL214W
YDL215C	YLL039C
YBR278W	YCL032W
YGL205W	YLL039C
YBL050W	YLR093C
YLL039C	YLR078C
YLL019C	YMR102C
YJL124C	YOR147W
YGR075C	YOR308C
YDR498C	YML058W
YJL151C	YKL140W
YLL039C	YOR163W
YHR088W	YKL021C
YDL061C	YFR034C
YAL059W	YJL039C
YDR032C	YHR001W
YER012W	YPR108W
YLR438W	YPL150W
YKL009W	YOL077C
YLR175W	YNL124W
YJR005W	YKL135C
YBR279W	YLL063C
YDR012W	YNL301C
YDL007W	YGL004C
YCR093W	YGR274C
YHR190W	YHR200W
YDL043C	YGR250C
YDL134C	YPL152W
YMR167W	YMR190C
YNL090W	YOR089C
YMR186W	YNR031C
YFR004W	YOR280C
YCR012W	YNR051C
YBR052C	YDR039C
YGR261C	YKL135C
YDR295C	YOL090W
YHR119W	YJL111W
YBR177C	YFR004W
YLL039C	YMR275C
YHR114W	YOR389W
YER151C	YGL076C
YCL009C	YNL157W
YFR052W	YMR314W
YKL203C	YML052W
YGR052W	YNL076W
YER023W	YFR004W
YDL115C	YGL179C
YJL153C	YOR120W
YDR247W	YGL208W
YKR081C	YLL034C
YGR252W	YNL255C
YMR155W	YPL031C
YDR427W	YMR191W
YGR232W	YHR027C
YDR162C	YDR277C
YGR031W	YIL107C
YGL076C	YOL120C
YLR055C	YNL255C
YER133W	YLR134W
YFL039C	YNL110C
YIR010W	YPR163C
YER112W	YJL124C
YDL140C	YOR117W
YBR225W	YNL307C
YLR337C	YNL084C
YGR258C	YPL248C
YNL255C	YOR265W
YDR436W	YOR054C
YBR273C	YLL039C
YGL137W	YLL039C
YJL094C	YLL039C
YDL055C	YJL074C
YNL124W	YPL079W
YDR272W	YOR081C
YDR507C	YHR088W
YKL145W	YOL117W
YGL137W	YGL203C
YFR051C	YNL304W
YBL055C	YFR014C
YER012W	YGR232W
YER013W	YLR117C
YDR388W	YOR196C
YHR020W	YHR200W
YBL003C	YOL006C
YNR011C	YOR148C
YGL180W	YMR049C
YBR046C	YLL039C
YER151C	YPR080W
YPL031C	YPL201C
YNL255C	YPL036W
YER177W	YGL181W
YKL142W	YNL063W
YDR100W	YML110C
YDR122W	YML006C
YLR384C	YNL107W
YBR057C	YHL004W
YLR457C	YNL255C
YKL058W	YOR093C
YDR398W	YJR070C
Q0085	YML081C-A
YLR429W	YPR093C
YLL011W	YNL110C
YDL063C	YLL039C
YBR167C	YIR015W
YDR145W	YNR010W
YER012W	YML092C
YDR077W	YOR330C
YJR066W	YLR378C
YDR432W	YER125W
YDR483W	YLR166C
YLL011W	YPR137W
YBL011W	YNL307C
YER133W	YOR117W
YDR247W	YPR115W
YGL058W	YML101C
YDR092W	YGL087C
YCR073W-A	YGL059W
YDR171W	YOR181W
YBL030C	YGL137W
YLL039C	YML052W
YBL054W	YNL118C
YNR019W	YPL031C
YDR368W	YFR004W
YHR023W	YOR326W
YDR155C	YHR119W
YER125W	YLR017W
YJL178C	YNL255C
YDR507C	YPR083W
YDR439W	YGL180W
YGR089W	YHL010C
YBL003C	YGL227W
YLR166C	YPL004C
YLR452C	YMR004W
YBR194W	YGR186W
YGR136W	YPR081C
YFR031C-A	YKL180W
YJL107C	YOR265W
YDR422C	YER129W
YGL116W	YIL142W
YJR001W	YPL203W
YJL154C	YMR004W
YBL087C	YGL227W
YBR207W	YNL255C
YDR356W	YOR373W
YGL158W	YPR072W
YHR135C	YMR229C
YHR200W	YLR438W
YER178W	YLR166C
YBR055C	YOR308C
YDR398W	YNL255C
YLR203C	YLR429W
YDL031W	YHR197W
YDR419W	YPR160W
YDL043C	YNR031C
YNL027W	YNL307C
YDR477W	YGL158W
YER105C	YJR042W
YNL044W	YNL315C
YGR109C	YJL157C
YJR035W	YNR058W
YFR022W	YJR010C-A
YDR343C	YER125W
YGR281W	YKL203C
YER151C	YMR229C
YER133W	YPR160W
YDL006W	YPL141C
YCR091W	YMR216C
YFR004W	YLR216C
YBR279W	YML069W
YGL181W	YPL049C
YLR313C	YNR032C-A
YJL012C	YJR152W
YBL018C	YBR167C
YNL255C	YOR007C
YMR291W	YOR089C
YBR095C	YDR207C
YLR148W	YPL045W
YBR036C	YJL214W
YFR014C	YMR087W
YKL016C	YLR166C
YDR388W	YER129W
YBR194W	YML017W
YFL034W	YPL110C
YGR252W	YPL031C
YFR014C	YKL042W
YFR004W	YJL055W
YKL203C	YMR104C
YJL222W	YKL065C
YER020W	YLL039C
YDR009W	YOL133W
YDR323C	YOR351C
YKL181W	YPL031C
YBR055C	YDR482C
YDR168W	YGL201C
YBL087C	YKL117W
YGL180W	YLR265C
YGL076C	YMR086W
YLL013C	YOL128C
YFR021W	YNL242W
YLR117C	YPR152C
YLR117C	YNR011C
YGR092W	YJR142W
YGL151W	YGR104C
YKL008C	YMR298W
YHL023C	YNL307C
YGL106W	YPL004C
YGR060W	YML075C
YDR490C	YIR044C
YLL039C	YMR183C
YKR008W	YLR033W
YGR092W	YIL106W
YAL016W	YHR135C
YDR180W	YJL074C
YBR010W	YGR270W
YIL113W	YKL161C
YGL180W	YMR140W
YGR029W	YLR424W
YHR087W	YNL255C
YDL140C	YDR463W
YGR275W	YKR008W
YDL101C	YPL177C
YLL039C	YNL308C
YDL134C	YER032W
YBR065C	YLR117C
YGL158W	YPL016W
YGL256W	YNL307C
YGL179C	YJR092W
YDL115C	YGR005C
