YGR186W	YPL129W
YKL049C	YOR261C
YJL180C	YNL315C
YDR381W	YJL098W
YNL110C	YPL043W
YGL173C	YMR076C
YBR254C	YDR108W
YLL024C	YLL039C
YIL033C	YKL166C
YMR250W	YPL031C
YFL039C	YLR319C
YDR087C	YOR267C
YDR328C	YJR090C
YBL058W	YJL006C
YKL139W	YPL220W
YGL158W	YGL245W
YDR484W	YKR020W
YBL032W	YBR071W
YER007C-A	YKL028W
YDR130C	YOL069W
YLR460C	YPL031C
YER054C	YKL166C
YCR002C	YDR510W
YGL060W	YJR135C
YKR014C	YOL018C
YFL034W	YHL019C
YHR016C	YPR081C
YBR105C	YGR054W
YKL054C	YKL117W
YER151C	YIL051C
YKR081C	YLR340W
YDR510W	YGL244W
YNL101W	YPR028W
