YNR007C	YPL031C
YAL005C	YDR502C
YLL039C	YOR161C
YIL050W	YJL084C
YJL014W	YOL146W
YER032W	YHR114W
YBL103C	YJR066W
YGR132C	YNL055C
YER112W	YER172C
YDR388W	YLR166C
YFR052W	YGL048C
YDR212W	YKL049C
YBR082C	YPL153C
YLL039C	YML130C
YCR057C	YGR210C
YCR084C	YNL025C
YBR150C	YNL255C
YER165W	YOR098C
YDR303C	YIL126W
YAL035W	YJR007W
YLL006W	YNL070W
YDL156W	YDR510W
YNL098C	YPL088W
YHR127W	YOR294W
YGR092W	YGR220C
YDL058W	YPL106C
YIL158W	YNL255C
YGR167W	YLR330W
YIR010W	YJR144W
YDR510W	YMR186W
YBR169C	YPL012W
YOR096W	YPL220W
YGL122C	YGR027C
YCL010C	YGR252W
YGL207W	YJR089W
YMR125W	YPR182W
YBR280C	YDL132W
YDR229W	YPR152C
YDR045C	YDR328C
YGR021W	YNL255C
YDR392W	YHR099W
YCR012W	YOR117W
YGL189C	YNL255C
YMR146C	YOR361C
YLL039C	YMR261C
YGL116W	YNL024C
YHL029C	YLL039C
YMR159C	YPL149W
YER039C	YER118C
YFR004W	YLR229C
YKL206C	YPR103W
YGL003C	YJL106W
YDL060W	YDR381W
YDR129C	YNL138W
YGL122C	YPL106C
YMR314W	YPR103W
YGR214W	YKL029C
YBR154C	YGR200C
YDR388W	YPL031C
YAL027W	YOL086C
YBR017C	YBR247C
YCR087C-A	YKR092C
YNL055C	YOR117W
YDR064W	YKL014C
YFR004W	YLR044C
YDR110W	YDR225W
YBR173C	YLR199C
YGR060W	YML055W
YDR381W	YIL095W
YGL233W	YJL036W
YJR069C	YPL240C
YDR418W	YDR471W
YLR310C	YNL025C
YGL122C	YOR065W
YER040W	YNL229C
YBR059C	YIL095W
YGR129W	YMR213W
YGL122C	YHR143W-A
YBR191W	YHL001W
YBR011C	YPL111W
YDR183W	YFL037W
YKL166C	YOR002W
YJL098W	YNL055C
YGL006W	YJL178C
YGL122C	YMR115W
YBL103C	YBR010W
YLR216C	YNL278W
YGL122C	YPR020W
YFL017C	YGR135W
YIR010W	YJR112W
YDR188W	YJL111W
YGL141W	YLL039C
YFR004W	YGR285C
YNL207W	YPL266W
YGL179C	YNL293W
YDR439W	YER106W
YGL234W	YOR117W
YBR010W	YER147C
YBR278W	YNL255C
YKL028W	YPR052C
YGL250W	YLR082C
YGL066W	YMR186W
YDR418W	YNL255C
YCL054W	YPR161C
YCR031C	YHL001W
YFR004W	YLR060W
YJL081C	YNL059C
YBR052C	YGR281W
YDR388W	YIL156W
YHL001W	YJL177W
YGL122C	YJR048W
YML029W	YNL294C
YML083C	YNL154C
YEL034W	YNL085W
YHR027C	YOR374W
YDR407C	YMR218C
YNL255C	YNR007C
YFL017W-A	YLR298C
YLR147C	YPR101W
YFL005W	YGL122C
YBR059C	YJL080C
YGL134W	YOR178C
YGR111W	YLL039C
YDR471W	YFR004W
YDR016C	YGR113W
YGL122C	YHR081W
YDR167W	YLR418C
YBL002W	YPL001W
YDR378C	YJR022W
YDR064W	YNR051C
YLR044C	YLR249W
YBR106W	YLR378C
YGL179C	YGR135W
YFL038C	YOR115C
YIR010W	YJL008C
YGL122C	YKL190W
YDL159W	YDR356W
YFL026W	YJR066W
YDR427W	YGR067C
YHL018W	YPL070W
YHR135C	YIL115C
YFL036W	YLR259C
YGL026C	YOR117W
YJL080C	YNR051C
YBR173C	YPL031C
YMR109W	YOR181W
YIR010W	YOR224C
YMR235C	YPL209C
YBR010W	YOR290C
YDR100W	YPL095C
YBR010W	YJR119C
YJL069C	YLR129W
YBL057C	YDR394W
YDR510W	YJR123W
YJR091C	YNR048W
YDR473C	YGR075C
YDR188W	YHR148W
YBR010W	YNL031C
YKL060C	YLR044C
YGR275W	YMR131C
YDR194C	YFL036W
YGL234W	YJR068W
YGL122C	YMR267W
YBR154C	YNL255C
YKR048C	YPL209C
YJL014W	YML061C
YJR040W	YPL240C
YML051W	YOR355W
YIR010W	YKL152C
YDR381W	YMR123W
YGL122C	YLR228C
YKL079W	YNL272C
YDR096W	YIR006C
YNL154C	YPR091C
YJL164C	YNR019W
YDR100W	YML018C
YGL122C	YKL085W
YGL122C	YGR133W
YDL101C	YJR104C
YHR143W-A	YIR024C
YKL109W	YOR290C
YDR328C	YOR057W
YGL122C	YOR324C
YJR091C	YLR156W
YDR039C	YLL039C
YBL003C	YDR052C
YML010W	YPR169W
YHR188C	YLR088W
YOL120C	YOR361C
YCR057C	YLR003C
YER125W	YJL164C
YGL122C	YGR082W
YKL049C	YPR091C
YLR085C	YLR259C
YGL122C	YLR224W
YBL030C	YOR065W
YHR016C	YMR109W
YDR471W	YOL040C
YGL122C	YNL036W
YPL248C	YPR086W
YKL009W	YNL002C
YHR024C	YLR172C
YJL020C	YPL031C
YDR129C	YHR027C
YDL132W	YLR134W
YER165W	YHR165C
YGR129W	YNL255C
YLL039C	YLR293C
YGL122C	YJL140W
YML057W	YPR108W
YDR312W	YFR014C
YDR510W	YOR374W
YAL005C	YOR098C
YDR118W	YOR249C
YER036C	YLL011W
YDL006W	YJL128C
YBR198C	YDR176W
YDR122W	YGR097W
YLL039C	YMR207C
YOR294W	YPL180W
YJL039C	YOL086C
YAL003W	YGR285C
YMR139W	YOL061W
YJR066W	YKL161C
YJR002W	YOR078W
YDR388W	YIL094C
YDR054C	YPR164W
YHR135C	YOR204W
YHR027C	YOR117W
YBR234C	YEL037C
YBL003C	YCL054W
