Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name
Complex_21,9,0.981,0.1481,428,YIL094C
Complex_21,9,0.981,0.1481,435,YIL142W
Complex_22,18,0.981,0.2,498,YKL029C
Complex_22,18,0.981,0.2,547,YLR106C
Complex_22,18,0.981,0.2,637,YMR012W
Complex_22,18,0.981,0.2,555,YLR180W
Complex_22,18,0.981,0.2,222,YEL022W
Complex_22,18,0.981,0.2,676,YNL002C
Complex_22,18,0.981,0.2,740,YNR053C
Complex_22,18,0.981,0.2,150,YDR101C
Complex_22,18,0.981,0.2,228,YER006W
Complex_22,18,0.981,0.2,366,YGR245C
Complex_22,18,0.981,0.2,634,YML124C
Complex_22,18,0.981,0.2,706,YNL182C
Complex_22,18,0.981,0.2,416,YHR197W
Complex_22,18,0.981,0.2,533,YLL008W
Complex_22,18,0.981,0.2,837,YPL093W
Complex_22,18,0.981,0.2,393,YHR085W
Complex_22,18,0.981,0.2,788,YOR151C
Complex_22,18,0.981,0.2,338,YGR103W
Complex_23,35,0.9809,0.3429,147,YDR087C
Complex_23,35,0.9809,0.3429,670,YMR290C
Complex_23,35,0.9809,0.3429,683,YNL061W
Complex_23,35,0.9809,0.3429,228,YER006W
Complex_23,35,0.9809,0.3429,388,YHR052W
Complex_23,35,0.9809,0.3429,676,YNL002C
Complex_23,35,0.9809,0.3429,100,YDL031W
Complex_23,35,0.9809,0.3429,533,YLL008W
Complex_23,35,0.9809,0.3429,215,YDR496C
Complex_23,35,0.9809,0.3429,796,YOR206W
Complex_23,35,0.9809,0.3429,529,YKR081C
Complex_23,35,0.9809,0.3429,867,YPR016C
Complex_23,35,0.9809,0.3429,495,YKL009W
Complex_23,35,0.9809,0.3429,740,YNR053C
Complex_23,35,0.9809,0.3429,837,YPL093W
Complex_23,35,0.9809,0.3429,547,YLR106C
Complex_23,35,0.9809,0.3429,539,YLR002C
Complex_23,35,0.9809,0.3429,854,YPL211W
Complex_23,35,0.9809,0.3429,416,YHR197W
Complex_23,35,0.9809,0.3429,366,YGR245C
Complex_23,35,0.9809,0.3429,706,YNL182C
Complex_23,35,0.9809,0.3429,297,YGL111W
Complex_23,35,0.9809,0.3429,246,YER126C
Complex_23,35,0.9809,0.3429,150,YDR101C
Complex_23,35,0.9809,0.3429,808,YOR272W
Complex_23,35,0.9809,0.3429,338,YGR103W
Complex_23,35,0.9809,0.3429,258,YFL002C
Complex_23,35,0.9809,0.3429,755,YOL077C
Complex_23,35,0.9809,0.3429,393,YHR085W
Complex_23,35,0.9809,0.3429,642,YMR049C
Complex_23,35,0.9809,0.3429,90,YCR072C
Complex_23,35,0.9809,0.3429,861,YPL249C-A
Complex_23,35,0.9809,0.3429,611,YLR449W
Complex_23,35,0.9809,0.3429,584,YLR325C
Complex_23,35,0.9809,0.3429,142,YDR060W
Complex_24,36,0.9809,0.3333,393,YHR085W
Complex_24,36,0.9809,0.3333,416,YHR197W
Complex_24,36,0.9809,0.3333,706,YNL182C
Complex_24,36,0.9809,0.3333,740,YNR053C
Complex_24,36,0.9809,0.3333,837,YPL093W
Complex_24,36,0.9809,0.3333,547,YLR106C
Complex_24,36,0.9809,0.3333,676,YNL002C
Complex_24,36,0.9809,0.3333,867,YPR016C
Complex_24,36,0.9809,0.3333,495,YKL009W
Complex_24,36,0.9809,0.3333,228,YER006W
Complex_24,36,0.9809,0.3333,683,YNL061W
Complex_24,36,0.9809,0.3333,533,YLL008W
Complex_24,36,0.9809,0.3333,539,YLR002C
Complex_24,36,0.9809,0.3333,854,YPL211W
Complex_24,36,0.9809,0.3333,366,YGR245C
Complex_24,36,0.9809,0.3333,297,YGL111W
Complex_24,36,0.9809,0.3333,246,YER126C
Complex_24,36,0.9809,0.3333,150,YDR101C
Complex_24,36,0.9809,0.3333,808,YOR272W
Complex_24,36,0.9809,0.3333,338,YGR103W
Complex_24,36,0.9809,0.3333,258,YFL002C
Complex_24,36,0.9809,0.3333,670,YMR290C
Complex_24,36,0.9809,0.3333,755,YOL077C
Complex_24,36,0.9809,0.3333,388,YHR052W
Complex_24,36,0.9809,0.3333,498,YKL029C
Complex_24,36,0.9809,0.3333,642,YMR049C
Complex_24,36,0.9809,0.3333,788,YOR151C
Complex_24,36,0.9809,0.3333,529,YKR081C
Complex_24,36,0.9809,0.3333,796,YOR206W
Complex_24,36,0.9809,0.3333,215,YDR496C
Complex_24,36,0.9809,0.3333,611,YLR449W
Complex_24,36,0.9809,0.3333,90,YCR072C
Complex_24,36,0.9809,0.3333,861,YPL249C-A
Complex_24,36,0.9809,0.3333,584,YLR325C
Complex_24,36,0.9809,0.3333,142,YDR060W
Complex_24,36,0.9809,0.3333,694,YNL110C
Complex_25,33,0.9808,0.3056,775,YOR063W
Complex_25,33,0.9808,0.3056,761,YOL127W
Complex_25,33,0.9808,0.3056,416,YHR197W
Complex_25,33,0.9808,0.3056,676,YNL002C
Complex_25,33,0.9808,0.3056,837,YPL093W
Complex_25,33,0.9808,0.3056,338,YGR103W
Complex_25,33,0.9808,0.3056,228,YER006W
Complex_25,33,0.9808,0.3056,529,YKR081C
