YDL117W	YOL070C
YDL044C	YMR083W
YGR121C	YPR138C
YER112W	YER146W
YBR289W	YPR034W
YIL105C	YLR423C
YLR423C	YPL240C
YAL021C	YOR027W
YMR268C	YPR082C
Q0130	YOL027C
YDR283C	YLL039C
YHR135C	YNL116W
YIL107C	YPL026C
YGL059W	YLR258W
YHR135C	YIL077C
YML056C	YOR360C
YBL003C	YJR010C-A
YGR080W	YNL138W
YHR094C	YLL039C
YGR104C	YPL042C
YGL207W	YOL088C
YBL102W	YFL048C
YHR027C	YPL048W
YGR270W	YKR008W
YDR308C	YLR315W
YDR392W	YEL009C
YBR298C	YGR041W
YGL006W	YHR175W
YBR214W	YDL047W
YBR200W	YGL233W
YDR386W	YER112W
YLR223C	YOR247W
YER177W	YHR165C
YLL039C	YLR345W
YDR296W	YIL104C
YOR036W	YPL240C
YDR254W	YOL091W
YMR197C	YOR327C
YER177W	YFR028C
YER164W	YKL049C
YJL165C	YMR076C
YDR099W	YHR027C
YKL049C	YNR053C
YBL092W	YOL127W
YEL002C	YPR011C
YDL134C	YDL188C
YBR132C	YPL240C
YGR258C	YLR005W
YDR479C	YLL039C
YBL032W	YDR259C
YGR130C	YKL049C
YBR126C	YCL040W
YBL032W	YPR008W
YER173W	YNL290W
YDR388W	YGL106W
YLR025W	YPR173C
YDR323C	YMR231W
YBL032W	YML053C
YDL184C	YER146W
YHR086W	YPR182W
YML048W	YPR106W
YPR081C	YPR154W
YDR080W	YLR093C
YBR159W	YIL105C
YBL099W	YNL315C
YBR282W	YMR193W
YBR018C	YDL134C
YLR362W	YMR139W
YAL027W	YBR196C
YJR141W	YNL307C
YDR384C	YPR156C
YBR264C	YJL187C
YJR141W	YPL141C
YLR335W	YNL124W
YDR128W	YJL092W
YBR097W	YLL039C
