YBL093C	YDR381W
YDL004W	YMR173W
YDR159W	YDR381W
YLL039C	YMR183C
YER120W	YML065W
YDL103C	YPR106W
YIL142W	YNL317W
YBL021C	YML048W
YHR135C	YHR156C
YJR145C	YLR367W
YBL067C	YHR082C
YIL136W	YNL131W
YDL029W	YOR117W
YGL180W	YMR140W
YGL153W	YMR267W
YHR082C	YLR055C
YHR001W	YOR273C
YER132C	YPL203W
YDL101C	YPL177C
YLR150W	YOL068C
YBL045C	YFR004W
YDL134C	YER032W
YMR059W	YOR332W
YKL093W	YKL166C
YDR486C	YLR025W
YBR065C	YLR117C
YBR173C	YGR135W
YGL158W	YPL016W
YIL027C	YMR112C
YGL179C	YJR092W
YER186C	YMR117C
YOL066C	YPL031C
YDR363W-A	YKL145W
YDR510W	YPL049C
YDR072C	YNL197C
YDL065C	YKL189W
YDR146C	YPL031C
YGL206C	YNL007C
YDR276C	YEL002C
YLR340W	YPL249C-A
YGL129C	YOL027C
YGR231C	YHR135C
YER021W	YKL100C
YLR150W	YPL150W
YCR030C	YIL095W
YDR225W	YNL030W
YBL007C	YFR024C-A
YBL091C-A	YNL197C
YDR254W	YPR046W
YCL024W	YJL187C
YGL021W	YLL015W
YMR209C	YNL197C
YFL033C	YOL081W
YHL048W	YHR140W
YNR011C	YPL151C
YDR381W	YDR462W
YJL106W	YNL116W
YMR288W	YPR152C
YNL272C	YPL153C
YGL158W	YHR104W
YFR037C	YLR340W
YBR048W	YPL131W
YGL181W	YPL031C
YGL173C	YGR086C
YIL035C	YPL181W
YHR194W	YPL117C
YER042W	YFR004W
YPL220W	YPR102C
YFR004W	YFR044C
YDR028C	YER133W
YMR054W	YOR270C
YJL187C	YMR173W
YFR037C	YOR290C
YGL004C	YIL007C
YLR117C	YMR288W
YGL173C	YMR076C
YIL033C	YKL166C
YMR250W	YPL031C
YMR288W	YPR178W
YDL060W	YML010W
YCL028W	YNL007C
YDR328C	YJR090C
YDL077C	YOR051C
YER054C	YKL166C
YER069W	YHR027C
YDR143C	YER006W
YDR277C	YJL020C
YBR211C	YPR046W
YCL028W	YDR260C
YGL137W	YNL287W
YDL031W	YML010W
YMR165C	YNL197C
YKL054C	YKL117W
YFL031W	YHR082C
YKR081C	YLR340W
YGL179C	YJL146W
YGL129C	YPL013C
YDR510W	YGL244W
YDL175C	YIL079C
YER133W	YLR340W
YBR018C	YGL180W
YFR027W	YNL290W
YJL054W	YNR017W
YIL095W	YPR160W
YDR477W	YIL107C
YGR097W	YNL025C
YHR135C	YPL181W
YGR048W	YKL020C
YCR012W	YDL097C
YGR270W	YML069W
YBL103C	YHR079C
YER177W	YLR177W
