T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YAR075W	1	0	0	0	0	0	1	1	1	1	1	1
YDR452W	1	1	1	1	1	1	1	0	0	0	0	0
YKL216W	1	0	0	0	1	1	1	1	1	1	1	1
YHR196W	0	0	0	0	1	1	1	1	1	1	1	1
YLR192C	1	0	1	1	1	0	1	1	1	1	1	0
YOL061W	0	0	1	1	1	1	1	1	1	1	1	1
YCR084C	1	1	1	1	0	0	0	1	1	1	1	1
YBR107C	1	1	1	0	1	1	1	1	1	1	0	0
YDR459C	1	1	0	0	0	1	1	1	1	1	1	1
YLR057W	0	0	0	1	1	1	0	1	1	1	1	1
YIL037C	1	0	1	1	1	1	1	0	0	1	1	1
YDR120C	1	0	1	0	1	1	1	1	1	1	1	1
YER043C	1	1	0	0	0	0	0	1	1	1	1	1
YDL013W	1	0	1	0	1	1	1	1	1	1	1	0
YEL001C	1	0	0	1	0	1	0	1	1	1	1	1
YDR233C	1	0	1	1	1	1	1	1	1	1	0	0
YJL069C	0	0	1	1	1	1	1	1	1	1	1	1
YBR225W	1	1	1	1	1	1	1	0	0	0	0	0
YGL187C	1	1	1	0	1	0	1	0	0	1	1	1
YBR239C	0	1	1	1	1	1	1	1	1	0	0	1
YBL017C	1	1	1	0	1	1	0	0	0	1	1	1
YGL227W	1	1	1	1	1	1	1	0	0	1	0	0
YAR007C	1	1	1	0	1	0	1	0	1	1	1	1
YBL059W	1	1	1	0	0	0	0	0	1	1	1	1
YDL063C	0	0	0	1	1	1	1	1	1	1	1	1
YNL045W	1	1	1	1	1	1	1	0	0	1	0	0
YPR158W	0	1	1	1	1	1	1	0	0	0	0	0
YIL143C	1	1	1	1	1	1	1	0	1	1	1	0
YML071C	1	0	0	0	0	0	1	1	1	1	1	1
YJL024C	0	0	1	0	1	1	1	1	1	1	1	1
YJR089W	1	0	1	1	1	1	1	1	1	0	0	1
YGR019W	0	1	1	1	1	1	1	0	0	1	0	0
YOL022C	0	0	0	1	1	1	1	1	1	1	1	1
YDR139C	1	0	1	1	0	1	0	1	1	1	0	1
YGL056C	1	1	1	1	1	1	1	1	0	0	1	0
YOR212W	0	1	1	1	1	1	1	1	1	0	0	0
YDR369C	1	1	1	1	1	1	1	0	0	0	1	0
YPR164W	0	0	1	1	1	1	1	1	0	1	0	1
YPL166W	0	1	1	1	1	1	1	0	0	0	0	0
YDR390C	1	1	1	1	1	1	0	0	0	1	1	1
YBL014C	0	0	1	1	1	1	1	1	1	0	1	1
YHR024C	1	1	0	0	0	0	0	0	1	1	1	1
YDL241W	1	0	1	1	0	0	0	0	1	0	1	1
YMR043W	0	1	1	1	1	1	0	1	1	0	1	0
YGL096W	0	1	1	1	1	1	1	1	0	0	0	0
YKR072C	0	1	1	1	1	1	1	1	1	0	0	0
YDL143W	1	0	1	1	0	0	1	1	1	1	1	1
YOR158W	1	1	1	1	0	0	0	0	1	1	1	1
YPL259C	0	0	1	1	0	1	0	0	1	1	1	1
YPL220W	1	0	1	1	1	1	1	1	1	1	1	1
YOR328W	0	1	1	1	1	1	1	1	0	0	0	0
YOL072W	0	0	1	1	1	1	1	1	0	0	1	0
YNL051W	1	1	1	1	1	1	1	0	0	0	0	0
YNL318C	1	1	0	1	1	1	1	1	0	1	1	1
YBL090W	1	1	0	0	0	0	0	0	1	1	1	1
YBR065C	0	1	1	1	1	1	1	1	1	1	1	1
YER030W	1	1	1	1	1	1	0	1	0	0	0	0
YLL002W	1	1	1	0	0	0	0	0	1	1	1	1
YBR030W	0	0	1	0	0	1	1	1	1	1	1	1
YER022W	0	1	1	1	1	1	0	1	1	1	0	1
YML029W	1	0	1	1	1	1	1	1	1	1	0	0
YOR091W	1	0	0	1	1	1	1	1	1	1	1	1
YER184C	1	0	0	1	0	1	1	1	1	1	1	1
YBR176W	1	1	1	1	1	1	0	0	1	1	1	1
YOR363C	1	1	1	1	1	1	1	0	0	0	0	0
YDR129C	1	1	1	1	1	1	0	0	0	0	0	1
YFR008W	0	1	1	1	1	1	1	0	0	1	0	0
YGR108W	1	1	1	1	1	0	0	0	0	0	1	1
YGL161C	1	1	1	1	1	1	1	0	0	1	1	0
YDR289C	0	1	1	1	1	0	0	0	1	1	1	1
YHR190W	1	1	1	1	1	1	1	0	1	0	1	0
YCR024C	1	1	1	0	0	0	0	0	1	1	1	1
YNL077W	0	1	1	1	1	1	1	0	1	1	0	0
YER129W	1	1	1	1	1	1	1	0	1	0	0	0
YDL247W	1	1	0	0	1	1	1	0	1	1	1	1
YIL099W	1	1	1	1	1	1	1	0	0	0	0	0
YMR089C	1	1	0	0	0	0	0	0	1	1	1	1
YOR174W	1	1	0	0	0	0	0	0	1	1	1	1
YKL197C	1	1	1	1	1	1	1	1	0	0	0	0
YDR391C	1	1	1	0	1	1	0	1	1	1	0	1
YNL246W	1	1	1	1	1	1	1	1	0	0	1	1
YML042W	1	1	1	1	1	1	1	0	0	0	0	0
YDR162C	1	1	1	1	1	1	1	1	0	0	0	0
YMR182C	1	1	1	1	1	1	1	1	1	0	1	1
YLL018C	1	0	0	0	1	1	1	1	1	1	1	1
