	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YLR420W	1	0	0	1	0	0	1	1	1	1	1	1
TR(CCG)L	1	1	1	1	1	1	1	0	1	0	1	0
YPL152W	1	1	1	1	1	1	1	0	0	0	0	0
YGR007W	1	1	0	0	0	0	1	1	1	1	1	1
YER146W	1	1	1	0	0	0	0	1	1	1	1	1
YDR494W	1	1	1	1	0	0	0	0	1	1	1	1
YKL183W	1	1	1	1	1	0	1	1	1	0	0	1
YCR067C	1	1	1	0	0	0	0	1	1	1	1	1
YMR294W	1	1	1	1	1	1	1	1	0	0	0	1
YPL274W	1	0	0	0	0	0	1	1	1	1	1	1
TR(ACG)K	1	1	0	1	1	0	1	1	1	1	0	1
YGR148C	1	0	0	0	1	0	1	1	1	1	1	1
YML054C	1	1	1	1	1	1	1	0	0	0	0	0
YGR174C	1	1	1	1	1	1	1	0	0	1	1	1
YJL044C	0	1	1	1	1	1	1	1	1	0	0	0
YMR040W	1	1	0	1	1	1	0	0	1	1	1	1
YBR201W	0	0	0	0	1	1	1	1	1	1	1	1
YJL218W	1	1	1	0	0	0	0	0	1	1	1	1
YLR314C	1	1	1	1	0	0	0	0	1	1	1	1
YDR458C	0	1	1	1	1	1	0	1	1	1	0	1
YKL205W	0	0	1	0	1	1	0	1	1	1	1	1
YJL089W	0	1	1	1	1	1	1	0	0	0	0	0
YLR256W	0	1	1	1	1	1	1	1	1	0	0	0
YCR030C	1	1	1	1	1	1	1	0	0	0	0	0
YFL016C	1	1	0	1	0	1	1	0	1	1	1	1
YBR202W	1	1	1	1	1	0	1	1	1	1	0	0
YHL003C	1	1	0	1	1	1	0	0	1	1	1	1
YMR169C	0	1	1	1	1	1	1	1	0	0	0	0
YNL300W	1	1	0	0	0	0	0	0	1	1	1	1
YNL113W	0	0	1	1	1	1	1	1	1	0	1	1
YOR303W	0	1	1	1	1	1	1	1	0	0	0	0
YLR333C	0	0	1	1	1	1	1	1	1	1	1	1
YDL209C	0	0	1	1	1	1	1	1	1	0	1	0
YER001W	1	0	0	0	0	0	0	1	1	1	1	1
YML133C	1	0	1	0	0	0	1	0	1	1	1	1
YGL189C	1	0	1	1	1	0	1	1	1	1	1	0
TR(UCU)J1	1	1	0	0	1	1	1	1	1	1	0	0
