YER125W	YHR165C
YMR155W	YPL031C
YBL007C	YBR160W
YIL095W	YPR152C
YJL183W	YPL094C
YBR234C	YDL029W
YER133W	YLR134W
YDR309C	YLR319C
YKR083C	YMR083W
YER029C	YMR213W
YBL007C	YER027C
YHR105W	YNL263C
YDR436W	YOR054C
YBR273C	YLL039C
YDR264C	YKR088C
YGL137W	YLL039C
YGR088W	YLR291C
YDL029W	YOR259C
YBL049W	YHL010C
YGL137W	YGL203C
YOR257W	YOR259C
YIL105C	YKL051W
YER164W	YOR207C
YBL003C	YOL006C
YBR046C	YLL039C
YDL116W	YML031W
YDR446W	YJL194W
YMR032W	YOR181W
YKR001C	YLR033W
YKR081C	YOL127W
YFL013C	YPL048W
YDL207W	YPR080W
YIL109C	YJR059W
YKR088C	YOL018C
YHR205W	YJR066W
YPR052C	YPR056W
YOL072W	YPL031C
YER012W	YML092C
YGR202C	YNL189W
YJR066W	YLR378C
YDR381W	YMR219W
YDL077C	YML001W
YDR247W	YPR115W
YDR092W	YGL087C
YDR171W	YOR181W
YBL030C	YGL137W
YOL049W	YPL031C
YDL030W	YHR165C
YDL089W	YPR028W
YBR160W	YGL116W
YNR019W	YPL031C
YPL031C	YPR091C
YDR207C	YPL181W
YGL035C	YKL074C
YHR023W	YOR326W
YDR477W	YJR111C
YBR103W	YMR155W
YLR131C	YNL135C
YIL075C	YMR001C
YBR194W	YGR186W
YLR109W	YNL079C
YBL032W	YOR106W
YGL116W	YIL142W
YJR001W	YPL203W
YDR171W	YOR151C
YGL158W	YPR072W
YHR200W	YLR438W
YBL032W	YOR137C
YER173W	YPL194W
YDR057W	YMR297W
YPL048W	YPR080W
YDR477W	YGL158W
YER027C	YER162C
YDR189W	YOR327C
YLR011W	YLR291C
YBR159W	YGL055W
YDR381W	YOL127W
YLR113W	YOR198C
YBL015W	YLL039C
YFR022W	YJR010C-A
YDR343C	YER125W
YER133W	YPR160W
YDR168W	YOR027W
YCR088W	YDL029W
YGL147C	YOL127W
YNL258C	YOR075W
YDR099W	YDR309C
YBR274W	YOL012C
YDR430C	YFL018C
YMR291W	YOR089C
YBR095C	YDR207C
YBR194W	YML017W
YER020W	YLL039C
YLR131C	YPR086W
YDR422C	YER029C
YDL001W	YLL039C
YAR014C	YER054C
YBR200W	YDR379W
YDR168W	YGL201C
YGR080W	YKL007W
YBL032W	YPR129W
YOR119C	YOR198C
YIL033C	YPL149W
YLR116W	YPL016W
YLR117C	YPR152C
YLR117C	YNR011C
YGR092W	YJR142W
YDR167W	YER164W
YKL008C	YMR298W
YBL093C	YDR381W
YEL034W	YJR047C
YDR159W	YDR381W
YLL039C	YMR183C
YER039C	YGL070C
YLR005W	YPR056W
YGR092W	YIL106W
YIL136W	YNL131W
YOL034W	YOR284W
YGR029W	YLR424W
YHR082C	YLR055C
YDR280W	YNL248C
YKL171W	YNL027W
YBR290W	YLL039C
YEL037C	YHL030W
YBL032W	YMR291W
YML114C	YPL011C
YDR486C	YLR025W
YGL158W	YPL016W
YBL032W	YBL101C
YDR167W	YOR207C
YMR182C	YNL197C
YER020W	YGL077C
YDR510W	YPL049C
YDR072C	YNL197C
YBL022C	YGR231C
YJL164C	YKL008C
YHR200W	YOR341W
YAL032C	YOR023C
YCR030C	YIL095W
YDR254W	YPR046W
YIR026C	YPL169C
YER008C	YIL068C
YGL021W	YLL015W
YAL032C	YDR448W
YBR183W	YJL117W
YHL048W	YHR140W
YGL190C	YOR349W
YDR381W	YDR462W
YJL106W	YNL116W
YMR288W	YPR152C
YGL017W	YLR234W
YDR356W	YLL003W
YGL158W	YHR104W
YBR182C	YMR172W
YBR159W	YNR019W
YJR032W	YNL197C
YHR194W	YPL117C
YDR510W	YIL149C
YGL077C	YKL051W
YCL052C	YHR140W
YDR028C	YER133W
YFL048C	YJL178C
YBL032W	YDR078C
YFL038C	YLR396C
YLR117C	YMR288W
YBR254C	YDR108W
YFL039C	YLR319C
YMR288W	YPR178W
YCL028W	YNL007C
YBL032W	YBR071W
YJR098C	YMR304W
YKR014C	YOL018C
YGL048C	YNR051C
YCL028W	YDR260C
YMR165C	YNL197C
YLL039C	YLR377C
YLL045C	YLR075W
YGL203C	YJL053W
YLR216C	YOR027W
YKL054C	YKL117W
YGL212W	YNL263C
YFL031W	YHR082C
YKR081C	YLR340W
YLR306W	YPL003W
YML056C	YOL115W
YER133W	YLR340W
YGR088W	YNR052C
YIL095W	YPR160W
YDL005C	YPL042C
YDR477W	YIL107C
YGL116W	YPL004C
YOR058C	YPL146C
YBL103C	YHR079C
YFL045C	YJR035W
YJL084C	YLL039C
YGL137W	YKR067W
YHR113W	YML064C
YDL027C	YHR082C
YBR258C	YLR015W
YBR160W	YJL051W
YKL171W	YOL104C
YLL039C	YOR348C
YCR073C	YJL089W
YBR159W	YPR198W
YNL248C	YOR341W
YAL005C	YLR189C
YCR077C	YPR178W
YCR093W	YDR145W
YKL029C	YOR151C
YDL005C	YGL151W
YHR195W	YLL039C
YHR082C	YPL048W
YMR116C	YOL012C
YKL054C	YNL288W
YKL173W	YLR117C
YIL144W	YPL260W
YJR104C	YNL135C
YIR001C	YNL138W
YGR270W	YNL031C
YDL165W	YPL042C
YBL032W	YBR233W
YJR066W	YPR185W
YLL039C	YOR326W
YKL039W	YLL039C
YDR342C	YLR340W
YCR028C-A	YER020W
YLR117C	YNL147W
YDR448W	YPL011C
YDL006W	YPL180W
YBR188C	YLR424W
YFL039C	YLR291C
YBL103C	YLR423C
YBR001C	YLL039C
YGL104C	YHR114W
YBL032W	YDL233W
YBL032W	YGL192W
YGR097W	YLR113W
YDR001C	YLL039C
YDL029W	YDR063W
YIL075C	YMR314W
YGL158W	YLR055C
YGR092W	YGR223C
YJR153W	YNL197C
YMR304W	YOR326W
YGL059W	YHR082C
YDR501W	YGL077C
YHR015W	YPL169C
YJL106W	YMR100W
YDR334W	YOL012C
YBR160W	YLR131C
YER173W	YOR217W
YDL181W	YKR054C
YDR507C	YIL010W
YHR152W	YLR044C
YGR092W	YKL140W
YDR224C	YPR019W
YFL045C	YNR051C
YGR086C	YNR051C
YNL236W	YPL042C
YLR117C	YMR125W
YBL032W	YDR505C
YDL113C	YFR040W
YBR058C	YDR388W
YDR342C	YJR066W
Q0085	YML129C
YAL027W	YLR429W
YHR082C	YNR047W
YBR152W	YKL173W
YLL039C	YOR099W
YMR043W	YMR227C
YGL158W	YML048W
YGL116W	YMR179W
YBR059C	YNL027W
YGR244C	YKL101W
YKL173W	YMR125W
YGL205W	YJR059W
YKL067W	YNL189W
YFR050C	YML092C
YBR247C	YMR093W
YBL032W	YCL004W
YCR077C	YDL184C
YKR096W	YPR129W
YJL106W	YMR001C
YMR037C	YMR172W
YDR235W	YER029C
YMR001C	YNL189W
YBL030C	YBL045C
YCR046C	YKR085C
YDR380W	YLL039C
YBR160W	YHL050C
YOR124C	YOR138C
YJL130C	YLR436C
YML064C	YMR001C
YDR510W	YER029C
YBL032W	YML104C
YIL159W	YKR055W
YMR099C	YPL231W
YBL032W	YMR041C
YDL002C	YJR112W
YGL017W	YNL157W
YBL032W	YMR179W
YGL006W	YLL039C
YBR160W	YNL272C
YDR041W	YOL027C
YBR122C	YNL005C
YLL039C	YNL305C
YBR095C	YNL189W
YMR032W	YMR109W
YBR160W	YLR425W
YDR258C	YPL190C
YBL084C	YPL174C
YDL077C	YMR231W
YDR141C	YGL203C
YJL164C	YNL098C
YBL032W	YDR522C
YDL030W	YKL173W
YAL022C	YNL197C
YLL039C	YPL218W
YAL060W	YAL061W
YLR362W	YNL229C
YDR185C	YKL053C-A
YGL158W	YHL027W
YDL140C	YDR356W
YBR241C	YML012W
YBL097W	YNL088W
YIR003W	YPL031C
YER063W	YKR048C
YFR021W	YML059C
YGL070C	YGR186W
YBL032W	YMR124W
YBR207W	YDR284C
YNL248C	YOR310C
YBL007C	YLR206W
YER062C	YLL039C
YDR006C	YLL039C
YPL125W	YPR160W
YKL073W	YOL087C
YCR081W	YMR112C
YJL130C	YPR152C
YDL192W	YLR330W
YKL126W	YLR429W
YML031W	YPR021C
YJL005W	YPR152C
YBL097W	YDR388W
YBR160W	YJR033C
YCR030C	YOR181W
YDL053C	YGL203C
YKL210W	YPR080W
YDL140C	YGR097W
YJL092W	YMR219W
YER030W	YJL125C
YJR047C	YNL197C
YBL104C	YER029C
YDR229W	YOR181W
YBR160W	YGL048C
YBR289W	YNL031C
YBR059C	YMR297W
YBR127C	YJR033C
YBR188C	YGL120C
YBL032W	YDL027C
YHR200W	YLR113W
YGR258C	YJL092W
YIR033W	YNL263C
YBR191W	YGL147C
YHR174W	YHR200W
YNR011C	YPR178W
YDR485C	YFL039C
YCR046C	YDR296W
YBR159W	YGL104C
YDR381W	YNL177C
YCR028C-A	YER112W
YHR174W	YPR152C
YKL067W	YNL030W
