YIL075C	YMR314W
YGR092W	YGR223C
YJR153W	YNL197C
YBL085W	YNL078W
YHR094C	YLL006W
YJL106W	YMR100W
YER049W	YFR004W
YDL214C	YHR139C
YDR308C	YNL236W
YBR137W	YOL111C
YGR052W	YIL045W
YGR092W	YKL140W
YER142C	YHR216W
YAL038W	YLR418C
YGR092W	YJL098W
YER002W	YPR016C
YGR103W	YOR272W
YLR117C	YMR125W
YDR041W	YOR158W
YHR105W	YOR292C
YDL097C	YDL147W
YDR342C	YJR066W
YGL097W	YLR335W
YBR152W	YKL173W
YDR264C	YOR212W
YLR079W	YOR039W
YCL032W	YGL133W
YKL173W	YMR125W
YGL205W	YJR059W
YCR072C	YLR009W
YCR092C	YNR058W
YGR252W	YLR418C
YFR050C	YML092C
YIL075C	YKL145W
YDL115C	YMR291W
YLR153C	YOL013C
YMR037C	YMR172W
YBR043C	YGR074W
YDR216W	YGR123C
YEL013W	YJL151C
YMR099C	YPL231W
YKL049C	YOR117W
YGL017W	YNL157W
YHR200W	YJL026W
YAL017W	YKL035W
YHR027C	YKL029C
YLR449W	YPL198W
YKL172W	YPL043W
YMR031C	YPL004C
YDL020C	YMR100W
YDR264C	YJR086W
YHL015W	YHL034C
YFR004W	YPR035W
YKL166C	YMR120C
YDR161W	YDR466W
YBL072C	YDL213C
YLL008W	YLR276C
YML057W	YNL037C
YFL002C	YLL008W
YKL012W	YPR182W
YBR143C	YPL237W
YGL172W	YMR138W
YLR131C	YMR308C
YJL164C	YNL098C
YAL022C	YNL197C
YAL060W	YAL061W
YLR362W	YNL229C
YJR145C	YPL217C
YGL201C	YLR233C
YDR057W	YKL145W
YOR117W	YPL218W
YLL008W	YPL131W
YBL002W	YMR223W
YOR117W	YOR261C
YGL073W	YJL141C
YOR117W	YPL131W
YBR207W	YDR284C
YNL183C	YPL077C
YBL007C	YLR206W
YBR142W	YHR216W
YDL025C	YOR272W
YJL034W	YPR181C
YCR030C	YOR181W
YAL038W	YHR169W
YKL210W	YPR080W
YDL140C	YGR097W
YDL082W	YIL133C
YLR245C	YOL111C
YGR254W	YJR045C
YJR047C	YNL197C
YGR085C	YNL061W
YHR140W	YPL076W
YDR155C	YNL244C
YML065W	YNL069C
YDR229W	YOR181W
YBL093C	YOL051W
YFR024C-A	YGL201C
YBR221C	YLR418C
YBL047C	YFR004W
YBR188C	YGL120C
YHR174W	YHR200W
YGL211W	YIL008W
YJL095W	YLR196W
YBR159W	YGL104C
YEL061C	YLR454W
YKL067W	YNL030W
YMR026C	YOL147C
YFR024C-A	YGL104C
YAR031W	YCR030C
YIL115C	YLR347C
YDR425W	YGL161C
YCL010C	YPL047W
YBR272C	YGL004C
YOR014W	YOR073W
YDL140C	YLR015W
YAL032C	YKL173W
YDR247W	YGR249W
YMR072W	YOR374W
YHR135C	YOL153C
YAL015C	YPR110C
YJL127C	YOL110W
YJL088W	YOR117W
YDR171W	YML065W
YDL215C	YMR304W
YER032W	YLR144C
YKL029C	YOR133W
YBL050W	YKL196C
YIR009W	YLL036C
YLL036C	YMR125W
YAR007C	YCR012W
YLL036C	YLR016C
YDR216W	YOL148C
YJR132W	YKL049C
YBL002W	YLR442C
YHR108W	YLR170C
YNL197C	YNR046W
YDR162C	YJL128C
YBL072C	YLR029C
YGR097W	YNL307C
YBL007C	YHL002W
YDR378C	YER112W
YDL171C	YOR133W
YGL037C	YHR200W
YLR337C	YMR109W
YHR187W	YKL110C
YJL095W	YNL125C
YNL098C	YOL081W
YHR135C	YNL116W
YIL107C	YPL026C
YOR158W	YPR125W
YHR135C	YIL077C
YGL025C	YHR058C
YDR300C	YFR004W
YGL120C	YIL033C
YCR021C	YLR138W
YKL180W	YMR086W
YBL056W	YDR071C
YKR001C	YMR072W
YNL175C	YPL211W
YDL126C	YML013W
YDR011W	YJR066W
YJL219W	YML048W
YPL012W	YPL217C
YHL022C	YLR329W
