YLR117C	YNR011C
YHL023C	YNL307C
YGL106W	YPL004C
YJR102C	YMR077C
YGR060W	YML075C
YBL093C	YDR381W
YEL034W	YJR047C
YDR490C	YIR044C
YLL039C	YMR183C
YDL103C	YPR106W
YBR010W	YGR270W
YIL113W	YKL161C
YIL136W	YNL131W
YGL180W	YMR140W
YGL153W	YMR267W
YHR128W	YOR117W
YGR275W	YKR008W
YNR033W	YOL045W
YER132C	YPL203W
YBR290W	YLL039C
YDL117W	YER177W
YDR486C	YLR025W
YDL047W	YNR016C
YDR100W	YPL100W
YDR363W-A	YKL145W
YDL126C	YPR152C
YIL114C	YPL274W
YBR105C	YPR010C
YIL143C	YML086C
YDL065C	YKL189W
YER133W	YPR016C
YDR146C	YPL031C
YGL206C	YNL007C
YDR473C	YLL036C
YNL112W	YPR152C
YGL180W	YLR125W
YLR245C	YNL189W
YOL078W	YPR137W
YIL062C	YNL243W
YGR081C	YPL240C
YGR180C	YOR229W
YOR210W	YPL129W
YCR057C	YPL240C
YIR026C	YPL169C
YGL021W	YLL015W
YHR193C	YKR081C
YFL033C	YOL081W
YDL015C	YGR060W
YGL190C	YOR349W
YHL020C	YOR061W
YDR356W	YLL003W
YBL003C	YHR193C
YGL158W	YHR104W
YLR070C	YPL240C
YMR140W	YOR244W
YAL018C	YLL028W
YGL181W	YPL031C
YLL039C	YOR329C
YDR087C	YMR048W
YGL173C	YGR086C
YML063W	YPL090C
YER036C	YOR117W
YLR328W	YML064C
YBR110W	YLR241W
YJR059W	YML096W
YDR087C	YKR081C
YKL095W	YLR147C
YGR186W	YPL129W
YOR244W	YPL082C
YDR381W	YJL098W
YJR017C	YML010W
YAL021C	YNL278W
YFR014C	YFR033C
YIL033C	YKL166C
YDR175C	YJL063C
YFL039C	YLR319C
YDR087C	YOR267C
YDR328C	YJR090C
YDL077C	YOR051C
YDR484W	YKR020W
YFR014C	YMR290C
YJR098C	YMR304W
YER054C	YKL166C
YKL172W	YOR272W
YJL151C	YMR152W
YBR048W	YDR299W
YLR449W	YOR206W
YLL039C	YLR377C
YHR016C	YPR081C
YLR410W	YML069W
YLR306W	YPL003W
YDR473C	YER029C
YER075C	YHR030C
YHR007C	YJR117W
YBR018C	YGL180W
YKL014C	YOR206W
YDL005C	YPL042C
YKL182W	YLR044C
YDL148C	YER035W
YGR097W	YNL025C
YER006W	YNL061W
YBR217W	YLR423C
YGL116W	YPL004C
YIL052C	YOR290C
YOR058C	YPL146C
YGR270W	YML069W
YBL103C	YHR079C
YER177W	YLR177W
YJL084C	YLL039C
YGL137W	YKR067W
YHR113W	YML064C
YHL020C	YKL166C
YBR126C	YJR138W
YDL014W	YPR016C
YBR258C	YLR015W
YGR281W	YHR007C
YIL150C	YKL089W
YGL099W	YKL180W
YKL171W	YOL104C
YPL240C	YPR054W
YLL039C	YOR348C
YJL095W	YOR210W
YBR114W	YMR315W
YCR077C	YPR178W
YKL029C	YOR151C
YHR195W	YLL039C
YKL173W	YLR117C
YJR104C	YNL135C
